Main Category,Subcategory,Nested category,Rank
Finance & Accounting,Accounting & Bookkeeping,Accounting,1
Finance & Accounting,Accounting & Bookkeeping,Bookkeeping,2
Finance & Accounting,Accounting & Bookkeeping,QuickBooks Online,3
Finance & Accounting,Accounting & Bookkeeping,Financial Accounting,4
Finance & Accounting,Accounting & Bookkeeping,Financial Statement,5
Finance & Accounting,Accounting & Bookkeeping,IFRS,6
Finance & Accounting,Accounting & Bookkeeping,TallyPrime,7
Finance & Accounting,Accounting & Bookkeeping,QuickBooks,8
Finance & Accounting,Accounting & Bookkeeping,Cost Accounting,9
Finance & Accounting,Compliance,Anti-Money Laundering (AML),1
Finance & Accounting,Compliance,Internal Auditing,2
Finance & Accounting,Compliance,Sarbanes-Oxley (SOX),3
Finance & Accounting,Compliance,KYC (Know Your Customer),4
Finance & Accounting,Compliance,Fraud Strategy,5
Finance & Accounting,Compliance,Risk Management,6
Finance & Accounting,Compliance,Compliance Management,7
Finance & Accounting,Compliance,Financial Crime,8
Finance & Accounting,Compliance,Internal Control,9
Finance & Accounting,Cryptocurrency & Blockchain,Cryptocurrency,1
Finance & Accounting,Cryptocurrency & Blockchain,Blockchain,2
Finance & Accounting,Cryptocurrency & Blockchain,Bitcoin,3
Finance & Accounting,Cryptocurrency & Blockchain,Technical Analysis (Crypto),4
Finance & Accounting,Cryptocurrency & Blockchain,Algorithmic Trading,5
Finance & Accounting,Cryptocurrency & Blockchain,NFT (Non-Fungible Tokens),6
Finance & Accounting,Cryptocurrency & Blockchain,Ethereum,7
Finance & Accounting,Cryptocurrency & Blockchain,Metaverse,8
Finance & Accounting,Cryptocurrency & Blockchain,Day Trading,9
Finance & Accounting,Economics,Macroeconomics,1
Finance & Accounting,Economics,Microeconomics,2
Finance & Accounting,Economics,Economics Fundamentals,3
Finance & Accounting,Economics,Game Theory,4
Finance & Accounting,Economics,Behavioral Economics,5
Finance & Accounting,Economics,Stata,6
Finance & Accounting,Economics,Econometrics,7
Finance & Accounting,Economics,Finance Fundamentals,8
Finance & Accounting,Economics,Global Economics,9
Finance & Accounting,Finance,Personal Finance,1
Finance & Accounting,Finance,Corporate Finance,2
Finance & Accounting,Finance,Finance Fundamentals,3
Finance & Accounting,Finance,Investment Banking,4
Finance & Accounting,Finance,Financial Analysis,5
Finance & Accounting,Finance,Behavioral Finance,6
Finance & Accounting,Finance,CFA,7
Finance & Accounting,Finance,Financial Modeling,8
Finance & Accounting,Finance,ChatGPT,9
Finance & Accounting,Finance Cert & Exam Prep,CFA,1
Finance & Accounting,Finance Cert & Exam Prep,ACCA,2
Finance & Accounting,Finance Cert & Exam Prep,Certified Management Accountant (CMA),3
Finance & Accounting,Finance Cert & Exam Prep,Certified Internal Auditor (CIA),4
Finance & Accounting,Finance Cert & Exam Prep,FRM,5
Finance & Accounting,Finance Cert & Exam Prep,CPA,6
Finance & Accounting,Finance Cert & Exam Prep,Quantitative Finance,7
Finance & Accounting,Finance Cert & Exam Prep,Stock Trading,8
Finance & Accounting,Finance Cert & Exam Prep,Finance Fundamentals,9
Finance & Accounting,Financial Modeling & Analysis,Financial Modeling,1
Finance & Accounting,Financial Modeling & Analysis,Financial Analysis,2
Finance & Accounting,Financial Modeling & Analysis,Excel,3
Finance & Accounting,Financial Modeling & Analysis,Investment Banking,4
Finance & Accounting,Financial Modeling & Analysis,Valuation,5
Finance & Accounting,Financial Modeling & Analysis,Corporate Finance,6
Finance & Accounting,Financial Modeling & Analysis,Python,7
Finance & Accounting,Financial Modeling & Analysis,Financial Accounting,8
Finance & Accounting,Financial Modeling & Analysis,Accounting,9
Finance & Accounting,Investing & Trading,Stock Trading,1
Finance & Accounting,Investing & Trading,Investing,2
Finance & Accounting,Investing & Trading,Technical Analysis,3
Finance & Accounting,Investing & Trading,Options Trading,4
Finance & Accounting,Investing & Trading,Day Trading,5
Finance & Accounting,Investing & Trading,Forex Trading,6
Finance & Accounting,Investing & Trading,Algorithmic Trading,7
Finance & Accounting,Investing & Trading,Financial Analysis,8
Finance & Accounting,Investing & Trading,Personal Finance,9
Finance & Accounting,Money Management Tools,QuickBooks Online,1
Finance & Accounting,Money Management Tools,SAP FICO,2
Finance & Accounting,Money Management Tools,Excel,3
Finance & Accounting,Money Management Tools,QuickBooks,4
Finance & Accounting,Money Management Tools,TallyPrime,5
Finance & Accounting,Money Management Tools,Xero,6
Finance & Accounting,Money Management Tools,SAP S/4HANA,7
Finance & Accounting,Money Management Tools,Financial Modeling,8
Finance & Accounting,Money Management Tools,Quicken,9
Finance & Accounting,Taxes,Income Tax,1
Finance & Accounting,Taxes,Tax Preparation,2
Finance & Accounting,Taxes,US Tax,3
Finance & Accounting,Taxes,GST,4
Finance & Accounting,Taxes,Value Added Tax (VAT),5
Finance & Accounting,Taxes,Corporate Tax,6
Finance & Accounting,Taxes,Accounting,7
Finance & Accounting,Taxes,Financial Accounting,8
Finance & Accounting,Taxes,Transfer Pricing,9
Finance & Accounting,Other Finance & Accounting,Medical Coding,1
Finance & Accounting,Other Finance & Accounting,Financial Crime,2
Finance & Accounting,Other Finance & Accounting,Passive Income,3
Finance & Accounting,Other Finance & Accounting,Algorithmic Trading,4
Finance & Accounting,Other Finance & Accounting,Technical Analysis,5
Finance & Accounting,Other Finance & Accounting,Quantitative Finance,6
Finance & Accounting,Other Finance & Accounting,Real Estate Investing,7
Finance & Accounting,Other Finance & Accounting,Actuarial Science,8
Finance & Accounting,Other Finance & Accounting,Insurance,9
IT & Software,IT Certifications,AWS Certified Cloud Practitioner,1
IT & Software,IT Certifications,AWS Certified Solutions Architect - Associate,2
IT & Software,IT Certifications,CompTIA A+,3
IT & Software,IT Certifications,Amazon AWS,4
IT & Software,IT Certifications,Cisco CCNA,5
IT & Software,IT Certifications,CompTIA Security+,6
IT & Software,IT Certifications,Microsoft Azure,7
IT & Software,IT Certifications,AWS Certified Developer - Associate,8
IT & Software,IT Certifications,Microsoft Certified Azure Fundamentals,9
IT & Software,Network & Security,Ethical Hacking,1
IT & Software,Network & Security,Cyber Security,2
IT & Software,Network & Security,Penetration Testing,3
IT & Software,Network & Security,CompTIA Security+,4
IT & Software,Network & Security,Network Security,5
IT & Software,Network & Security,Cisco CCNA,6
IT & Software,Network & Security,Information Security,7
IT & Software,Network & Security,Python,8
IT & Software,Network & Security,Wireshark,9
IT & Software,Hardware,PLC,1
IT & Software,Hardware,Arduino,2
IT & Software,Hardware,Electronics,3
IT & Software,Hardware,Raspberry Pi,4
IT & Software,Hardware,Embedded Systems,5
IT & Software,Hardware,Microcontroller,6
IT & Software,Hardware,Embedded C,7
IT & Software,Hardware,Computer Repair,8
IT & Software,Hardware,FPGA,9
IT & Software,Operating Systems & Servers,Linux,1
IT & Software,Operating Systems & Servers,Linux Administration,2
IT & Software,Operating Systems & Servers,Windows Server,3
IT & Software,Operating Systems & Servers,Shell Scripting,4
IT & Software,Operating Systems & Servers,Docker,5
IT & Software,Operating Systems & Servers,Unix,6
IT & Software,Operating Systems & Servers,LPIC-1: Linux Administrator,7
IT & Software,Operating Systems & Servers,Active Directory,8
IT & Software,Operating Systems & Servers,Linux Command Line,9
IT & Software,Other IT & Software,Python,1
IT & Software,Other IT & Software,Docker,2
IT & Software,Other IT & Software,Kubernetes,3
IT & Software,Other IT & Software,ChatGPT,4
IT & Software,Other IT & Software,DevOps,5
IT & Software,Other IT & Software,Ethical Hacking,6
IT & Software,Other IT & Software,Java,7
IT & Software,Other IT & Software,AWS Certified Solutions Architect - Associate,8
IT & Software,Other IT & Software,SQL,9
Office Productivity,Microsoft,Excel,1
Office Productivity,Microsoft,Microsoft Office,2
Office Productivity,Microsoft,PowerPoint,3
Office Productivity,Microsoft,Microsoft 365,4
Office Productivity,Microsoft,Outlook,5
Office Productivity,Microsoft,Microsoft Word,6
Office Productivity,Microsoft,OneNote,7
Office Productivity,Microsoft,Access,8
Office Productivity,Microsoft,Pivot Tables,9
Office Productivity,Apple,Numbers,1
Office Productivity,Apple,Mac Basics,2
Office Productivity,Apple,Keynote,3
Office Productivity,Apple,Pages,4
Office Productivity,Apple,iMovie,5
Office Productivity,Apple,macOS,6
Office Productivity,Apple,Apple Watch,7
Office Productivity,Apple,iPad Business,8
Office Productivity,Apple,iPhone Business,9
Office Productivity,Google,Google Sheets,1
Office Productivity,Google,Google Workspace (G Suite),2
Office Productivity,Google,Google Apps,3
Office Productivity,Google,Google Drive,4
Office Productivity,Google,Gmail,5
Office Productivity,Google,Google Calendar,6
Office Productivity,Google,Google Docs,7
Office Productivity,Google,Google Forms,8
Office Productivity,Google,Google Looker Studio,9
Office Productivity,SAP,SAP ERP,1
Office Productivity,SAP,SAP S/4HANA,2
Office Productivity,SAP,SAP ABAP,3
Office Productivity,SAP,SAP FICO,4
Office Productivity,SAP,SAP SD,5
Office Productivity,SAP,SAP MM,6
Office Productivity,SAP,SAP HCM,7
Office Productivity,SAP,SAP BASIS,8
Office Productivity,SAP,SAP Business One,9
Office Productivity,Oracle,Oracle SQL,1
Office Productivity,Oracle,Oracle Database,2
Office Productivity,Oracle,Oracle PL/SQL,3
Office Productivity,Oracle,Oracle Primavera,4
Office Productivity,Oracle,Oracle E-Business Suite,5
Office Productivity,Oracle,Oracle Fusion Cloud,6
Office Productivity,Oracle,Oracle EBS R12,7
Office Productivity,Oracle,PeopleSoft,8
Office Productivity,Oracle,JD Edwards,9
Office Productivity,Other Office Productivity,ChatGPT,1
Office Productivity,Other Office Productivity,Artificial Intelligence (AI),2
Office Productivity,Other Office Productivity,Typing,3
Office Productivity,Other Office Productivity,Python,4
Office Productivity,Other Office Productivity,Prompt Engineering,5
Office Productivity,Other Office Productivity,Generative AI (GenAI),6
Office Productivity,Other Office Productivity,QuickBooks Online,7
Office Productivity,Other Office Productivity,Notary Business,8
Office Productivity,Other Office Productivity,Construction Estimation,9
Personal Development,Motivation,Motivation,1
Personal Development,Motivation,Life Coaching,2
Personal Development,Motivation,Neuro-Linguistic Programming (NLP),3
Personal Development,Motivation,Personal Development,4
Personal Development,Motivation,Confidence,5
Personal Development,Motivation,Self-Discipline,6
Personal Development,Motivation,Goal Setting,7
Personal Development,Motivation,Habits,8
Personal Development,Motivation,Procrastination,9
Personal Development,Personal Productivity,Time Management,1
Personal Development,Personal Productivity,Personal Productivity,2
Personal Development,Personal Productivity,Focus Mastery,3
Personal Development,Personal Productivity,ChatGPT,4
Personal Development,Personal Productivity,Speed Reading,5
Personal Development,Personal Productivity,Procrastination,6
Personal Development,Personal Productivity,Organization,7
Personal Development,Personal Productivity,Goal Setting,8
Personal Development,Personal Productivity,Notion,9
Personal Development,Leadership,Leadership,1
Personal Development,Leadership,Management Skills,2
Personal Development,Leadership,Communication Skills,3
Personal Development,Leadership,Public Speaking,4
Personal Development,Leadership,Emotional Intelligence,5
Personal Development,Leadership,Strategic Thinking,6
Personal Development,Leadership,Team Building,7
Personal Development,Leadership,Project Management,8
Personal Development,Leadership,Conflict Management,9
Personal Development,Career Development,Resume Writing,1
Personal Development,Career Development,Interviewing Skills,2
Personal Development,Career Development,Job Search,3
Personal Development,Career Development,LinkedIn,4
Personal Development,Career Development,Business Communication,5
Personal Development,Career Development,Career Coaching,6
Personal Development,Career Development,Business Writing,7
Personal Development,Career Development,Freelancing,8
Personal Development,Career Development,Personal Branding,9
Personal Development,Parenting & Relationships,Parenting,1
Personal Development,Parenting & Relationships,Relationship Building,2
Personal Development,Parenting & Relationships,Couples Counseling,3
Personal Development,Parenting & Relationships,Child Psychology,4
Personal Development,Parenting & Relationships,Marriage,5
Personal Development,Parenting & Relationships,Conflict Management,6
Personal Development,Parenting & Relationships,Early Childhood Education,7
Personal Development,Parenting & Relationships,Communication Skills,8
Personal Development,Parenting & Relationships,Love,9
Personal Development,Happiness,Life Coaching,1
Personal Development,Happiness,Mindfulness,2
Personal Development,Happiness,Positive Psychology,3
Personal Development,Happiness,CBT Cognitive Behavioral Therapy,4
Personal Development,Happiness,Gratitude,5
Personal Development,Happiness,Manifestation,6
Personal Development,Happiness,Emotional Intelligence,7
Personal Development,Happiness,Self-Care,8
Personal Development,Happiness,Law of Attraction,9
Personal Development,Religion & Spirituality,Spirituality,1
Personal Development,Religion & Spirituality,Mindfulness,2
Personal Development,Religion & Spirituality,Meditation,3
Personal Development,Religion & Spirituality,Bible,4
Personal Development,Religion & Spirituality,Christianity,5
Personal Development,Religion & Spirituality,Religious Studies,6
Personal Development,Religion & Spirituality,Yoga,7
Personal Development,Religion & Spirituality,Kabbalah,8
Personal Development,Religion & Spirituality,Islam,9
Personal Development,Creativity,Writing,1
Personal Development,Creativity,Creative Writing,2
Personal Development,Creativity,Storytelling,3
Personal Development,Creativity,Screenwriting,4
Personal Development,Creativity,Drawing,5
Personal Development,Creativity,Design Thinking,6
Personal Development,Creativity,Art Therapy,7
Personal Development,Creativity,Innovation,8
Personal Development,Creativity,Photography,9
Personal Development,Influence,Public Speaking,1
Personal Development,Influence,Communication Skills,2
Personal Development,Influence,Persuasion,3
Personal Development,Influence,Negotiation,4
Personal Development,Influence,Body Language,5
Personal Development,Influence,Storytelling,6
Personal Development,Influence,Assertiveness,7
Personal Development,Influence,Presentation Skills,8
Personal Development,Influence,Sales Skills,9
Personal Development,Self Esteem & Confidence,Confidence,1
Personal Development,Self Esteem & Confidence,Self-Esteem,2
Personal Development,Self Esteem & Confidence,Communication Skills,3
Personal Development,Self Esteem & Confidence,Social Skills,4
Personal Development,Self Esteem & Confidence,Public Speaking,5
Personal Development,Self Esteem & Confidence,Assertiveness,6
Personal Development,Self Esteem & Confidence,Body Language,7
Personal Development,Self Esteem & Confidence,CBT Cognitive Behavioral Therapy,8
Personal Development,Self Esteem & Confidence,Personal Transformation,9
Personal Development,Stress Management,Stress Management,1
Personal Development,Stress Management,Resilience,2
Personal Development,Stress Management,Anxiety Management,3
Personal Development,Stress Management,Mindfulness,4
Personal Development,Stress Management,Emotional Intelligence,5
Personal Development,Stress Management,Emotional Freedom Technique (EFT),6
Personal Development,Stress Management,Breathwork,7
Personal Development,Stress Management,Burnout Recovery,8
Personal Development,Stress Management,Meditation,9
Personal Development,Memory & Study Skills,Speed Reading,1
Personal Development,Memory & Study Skills,Memory,2
Personal Development,Memory & Study Skills,Study Skills,3
Personal Development,Memory & Study Skills,Focus Mastery,4
Personal Development,Memory & Study Skills,Learning Strategies,5
Personal Development,Memory & Study Skills,Mind Mapping,6
Personal Development,Memory & Study Skills,Academic Writing,7
Personal Development,Memory & Study Skills,Note-taking,8
Personal Development,Memory & Study Skills,Test Prep,9
Personal Development,Esoteric Practices,Reiki,1
Personal Development,Esoteric Practices,Astrology,2
Personal Development,Esoteric Practices,Tarot Reading,3
Personal Development,Esoteric Practices,Energy Healing,4
Personal Development,Esoteric Practices,Psychic,5
Personal Development,Esoteric Practices,Hypnotherapy,6
Personal Development,Esoteric Practices,Chakra,7
Personal Development,Esoteric Practices,Palmistry,8
Personal Development,Esoteric Practices,Numerology,9
Personal Development,Other Personal Development,Handwriting Analysis,1
Personal Development,Other Personal Development,Sound Therapy,2
Personal Development,Other Personal Development,Mental Health,3
Personal Development,Other Personal Development,EFT (Emotional Freedom Technique),4
Personal Development,Other Personal Development,Life Coaching,5
Personal Development,Other Personal Development,Resilience,6
Personal Development,Other Personal Development,Neuro-Linguistic Programming (NLP),7
Personal Development,Other Personal Development,Personal Transformation,8
Personal Development,Other Personal Development,Freelancing,9
Design,Web Design,WordPress,1
Design,Web Design,Figma,2
Design,Web Design,Web Design,3
Design,Web Design,User Experience Design,4
Design,Web Design,Elementor,5
Design,Web Design,HTML,6
Design,Web Design,CSS,7
Design,Web Design,User Interface Design,8
Design,Web Design,Web Development,9
Design,Graphic Design & Illustration,Graphic Design,1
Design,Graphic Design & Illustration,Adobe Photoshop,2
Design,Graphic Design & Illustration,Adobe Illustrator,3
Design,Graphic Design & Illustration,Drawing,4
Design,Graphic Design & Illustration,Canva,5
Design,Graphic Design & Illustration,Digital Painting,6
Design,Graphic Design & Illustration,InDesign,7
Design,Graphic Design & Illustration,Character Design,8
Design,Graphic Design & Illustration,Logo Design,9
Design,Design Tools,Adobe Photoshop,1
Design,Design Tools,Figma,2
Design,Design Tools,Canva,3
Design,Design Tools,Adobe Illustrator,4
Design,Design Tools,AutoCAD,5
Design,Design Tools,Adobe After Effects,6
Design,Design Tools,Adobe Premiere Pro,7
Design,Design Tools,Procreate,8
Design,Design Tools,SOLIDWORKS,9
Design,User Experience Design,User Experience Design,1
Design,User Experience Design,Figma,2
Design,User Experience Design,User Interface Design,3
Design,User Experience Design,Product Design,4
Design,User Experience Design,Web Design,5
Design,User Experience Design,Adobe XD,6
Design,User Experience Design,Usability Testing,7
Design,User Experience Design,Design Thinking,8
Design,User Experience Design,Mobile App Design,9
Design,Game Design,Unreal Engine,1
Design,Game Design,Unity,2
Design,Game Design,Game Development Fundamentals,3
Design,Game Design,Blender,4
Design,Game Design,Pixel Art,5
Design,Game Design,Level Design,6
Design,Game Design,C#,7
Design,Game Design,3D Modeling,8
Design,Game Design,Digital Painting,9
Design,3D & Animation,Blender,1
Design,3D & Animation,3D Modeling,2
Design,3D & Animation,After Effects,3
Design,3D & Animation,Unreal Engine,4
Design,3D & Animation,Animation,5
Design,3D & Animation,3D Animation,6
Design,3D & Animation,ZBrush,7
Design,3D & Animation,Character Animation,8
Design,3D & Animation,Cinema 4D,9
Design,Fashion Design,Sewing,1
Design,Fashion Design,Fashion Design,2
Design,Fashion Design,Jewelry Design,3
Design,Fashion Design,Pattern Making (Fashion),4
Design,Fashion Design,Adobe Illustrator,5
Design,Fashion Design,T-Shirt Design,6
Design,Fashion Design,Sketching,7
Design,Fashion Design,Clo 3d,8
Design,Fashion Design,Textile Design,9
Design,Architectural Design,AutoCAD,1
Design,Architectural Design,Revit,2
Design,Architectural Design,SketchUp,3
Design,Architectural Design,Archicad,4
Design,Architectural Design,BIM,5
Design,Architectural Design,Interior Design,6
Design,Architectural Design,V-Ray,7
Design,Architectural Design,Reading Blueprints,8
Design,Architectural Design,3ds Max,9
Design,Interior Design,Interior Design,1
Design,Interior Design,SketchUp,2
Design,Interior Design,Home Staging,3
Design,Interior Design,Color Theory,4
Design,Interior Design,Lighting Design,5
Design,Interior Design,AutoCAD,6
Design,Interior Design,Feng Shui,7
Design,Interior Design,3ds Max,8
Design,Interior Design,Revit,9
Design,Other Design,Character Design,1
Design,Other Design,Canva,2
Design,Other Design,Digital Painting,3
Design,Other Design,Drawing,4
Design,Other Design,Color Theory,5
Design,Other Design,Sustainable Design,6
Design,Other Design,Design Thinking,7
Design,Other Design,Portraiture,8
Design,Other Design,Geometric Dimensioning and Tolerancing (GD&T),9
Marketing,Digital Marketing,Digital Marketing,1
Marketing,Digital Marketing,Google Ads,2
Marketing,Digital Marketing,Social Media Marketing,3
Marketing,Digital Marketing,Marketing Strategy,4
Marketing,Digital Marketing,Search Engine Optimization (SEO),5
Marketing,Digital Marketing,ChatGPT,6
Marketing,Digital Marketing,Email Marketing,7
Marketing,Digital Marketing,Copywriting,8
Marketing,Digital Marketing,Facebook Marketing,9
Marketing,Search Engine Optimization,Search Engine Optimization (SEO),1
Marketing,Search Engine Optimization,Local SEO,2
Marketing,Search Engine Optimization,Google Business Profile (Google My Business),3
Marketing,Search Engine Optimization,SEO Audit,4
Marketing,Search Engine Optimization,Keyword Research,5
Marketing,Search Engine Optimization,WordPress SEO,6
Marketing,Search Engine Optimization,Content Marketing,7
Marketing,Search Engine Optimization,Link Building,8
Marketing,Search Engine Optimization,ChatGPT,9
Marketing,Social Media Marketing,Social Media Marketing,1
Marketing,Social Media Marketing,Instagram Marketing,2
Marketing,Social Media Marketing,Facebook Marketing,3
Marketing,Social Media Marketing,TikTok Marketing,4
Marketing,Social Media Marketing,Social Media Management,5
Marketing,Social Media Marketing,LinkedIn Marketing,6
Marketing,Social Media Marketing,Facebook Ads,7
Marketing,Social Media Marketing,Digital Marketing,8
Marketing,Social Media Marketing,Marketing Strategy,9
Marketing,Branding,Personal Branding,1
Marketing,Branding,Brand Strategy,2
Marketing,Branding,YouTube Marketing,3
Marketing,Branding,Business Branding,4
Marketing,Branding,Logo Design,5
Marketing,Branding,Storytelling,6
Marketing,Branding,ChatGPT,7
Marketing,Branding,Marketing Strategy,8
Marketing,Branding,Digital Marketing,9
Marketing,Marketing Fundamentals,Marketing Strategy,1
Marketing,Marketing Fundamentals,Copywriting,2
Marketing,Marketing Fundamentals,Digital Marketing,3
Marketing,Marketing Fundamentals,Market Research,4
Marketing,Marketing Fundamentals,Growth Marketing,5
Marketing,Marketing Fundamentals,Event Planning,6
Marketing,Marketing Fundamentals,Marketing Management,7
Marketing,Marketing Fundamentals,Product Marketing,8
Marketing,Marketing Fundamentals,Neural Marketing,9
Marketing,Marketing Analytics & Automation,Google Analytics 4 (GA4),1
Marketing,Marketing Analytics & Automation,Marketing Analytics,2
Marketing,Marketing Analytics & Automation,Google Analytics,3
Marketing,Marketing Analytics & Automation,Google Tag Manager,4
Marketing,Marketing Analytics & Automation,Marketing Automation,5
Marketing,Marketing Analytics & Automation,Data Analysis,6
Marketing,Marketing Analytics & Automation,SQL,7
Marketing,Marketing Analytics & Automation,HubSpot,8
Marketing,Marketing Analytics & Automation,Salesforce,9
Marketing,Public Relations,Public Relations,1
Marketing,Public Relations,Communication Skills,2
Marketing,Public Relations,Media Training,3
Marketing,Public Relations,Business Writing,4
Marketing,Public Relations,Crisis Management,5
Marketing,Public Relations,Writing,6
Marketing,Public Relations,Press Release Writing,7
Marketing,Public Relations,Storytelling,8
Marketing,Public Relations,Personal Branding,9
Marketing,Paid Advertising,Google Ads,1
Marketing,Paid Advertising,Facebook Ads,2
Marketing,Paid Advertising,PPC Advertising,3
Marketing,Paid Advertising,Google Ads Search Certification,4
Marketing,Paid Advertising,Retargeting Marketing,5
Marketing,Paid Advertising,Amazon Advertising,6
Marketing,Paid Advertising,TikTok Marketing,7
Marketing,Paid Advertising,YouTube Marketing,8
Marketing,Paid Advertising,Instagram Marketing,9
Marketing,Video & Mobile Marketing,YouTube Marketing,1
Marketing,Video & Mobile Marketing,Video Marketing,2
Marketing,Video & Mobile Marketing,Mobile Marketing,3
Marketing,Video & Mobile Marketing,App Store Optimization (ASO),4
Marketing,Video & Mobile Marketing,Video Editing,5
Marketing,Video & Mobile Marketing,TikTok Marketing,6
Marketing,Video & Mobile Marketing,YouTube Content Creation,7
Marketing,Video & Mobile Marketing,Digital Marketing,8
Marketing,Video & Mobile Marketing,Instagram Marketing,9
Marketing,Content Marketing,Copywriting,1
Marketing,Content Marketing,Content Marketing,2
Marketing,Content Marketing,Content Writing,3
Marketing,Content Marketing,Blogging,4
